2018-01-15 04:06:23 Unknown item (entry=5276) in creature_equip_template.itemEntry1 for entry = 6, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=1896) in creature_equip_template.itemEntry1 for entry = 38, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=1910) in creature_equip_template.itemEntry1 for entry = 40, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=1897) in creature_equip_template.itemEntry1 for entry = 46, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=1909) in creature_equip_template.itemEntry1 for entry = 48, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=1903) in creature_equip_template.itemEntry1 for entry = 54, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=1905) in creature_equip_template.itemEntry1 for entry = 60, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=1900) in creature_equip_template.itemEntry1 for entry = 61, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=1900) in creature_equip_template.itemEntry2 for entry = 61, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=1904) in creature_equip_template.itemEntry1 for entry = 62, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=1899) in creature_equip_template.itemEntry1 for entry = 68, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=2551) in creature_equip_template.itemEntry3 for entry = 68, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=1897) in creature_equip_template.itemEntry1 for entry = 75, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=2053) in creature_equip_template.itemEntry2 for entry = 75, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=1903) in creature_equip_template.itemEntry1 for entry = 78, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=1903) in creature_equip_template.itemEntry1 for entry = 79, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=50433) in creature_equip_template.itemEntry1 for entry = 80, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=5281) in creature_equip_template.itemEntry1 for entry = 95, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=6886) in creature_equip_template.itemEntry3 for entry = 95, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=1895) in creature_equip_template.itemEntry1 for entry = 97, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=1897) in creature_equip_template.itemEntry1 for entry = 98, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=2051) in creature_equip_template.itemEntry2 for entry = 98, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=5285) in creature_equip_template.itemEntry1 for entry = 99, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=1904) in creature_equip_template.itemEntry1 for entry = 100, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=1900) in creature_equip_template.itemEntry1 for entry = 103, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=1896) in creature_equip_template.itemEntry1 for entry = 116, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=1895) in creature_equip_template.itemEntry1 for entry = 117, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=2711) in creature_equip_template.itemEntry1 for entry = 121, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=2051) in creature_equip_template.itemEntry2 for entry = 121, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=1895) in creature_equip_template.itemEntry2 for entry = 122, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=1905) in creature_equip_template.itemEntry1 for entry = 123, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=3326) in creature_equip_template.itemEntry1 for entry = 124, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=1983) in creature_equip_template.itemEntry1 for entry = 125, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=2197) in creature_equip_template.itemEntry1 for entry = 151, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=2703) in creature_equip_template.itemEntry2 for entry = 151, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=2197) in creature_equip_template.itemEntry1 for entry = 152, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=2023) in creature_equip_template.itemEntry1 for entry = 171, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=1904) in creature_equip_template.itemEntry1 for entry = 192, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=6680) in creature_equip_template.itemEntry1 for entry = 193, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=1905) in creature_equip_template.itemEntry1 for entry = 196, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=1899) in creature_equip_template.itemEntry1 for entry = 197, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=1907) in creature_equip_template.itemEntry1 for entry = 198, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=1905) in creature_equip_template.itemEntry1 for entry = 200, forced to 0.
2018-01-15 04:06:23 Unknown item (entry=2051) in creature_equip_template.itemEntry2 for entry = 200, forced to 0.
